CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Gender_Male
-0.3262214220367463,0.2935174228967471,-1.0417596792253108,-1.2258476714090278,1,1,1,0.021886493995386117,False,False,False
-0.4400359548576657,0.1981638321954454,-1.3875375865624426,0.11735002143511059,1,0,1,0.21653375188734025,False,True,False
-1.536794180222889,0.2935174228967471,1.03290776479748,1.3330533457228904,3,1,0,0.24068690006348814,False,False,False
0.5015206348426676,0.0074566507928420294,-1.3875375865624426,-1.2258476714090278,2,0,0,-0.10891791702847127,False,False,False
2.063883767202561,0.38887101359804876,-1.0417596792253108,0.7857278997960591,1,1,1,-0.36527578251440274,False,True,False
-0.05720525355093678,0.48422460429935044,1.03290776479748,0.5973285944410414,2,1,0,0.8636502870218095,False,True,True
1.7741740472947665,1.0563461485071606,0.6871298574603482,-1.2258476714090278,2,1,1,-1.5654872211931183,False,False,True
-2.840487919807966,-0.9460792562201749,-0.35020386455104724,0.6180189508533646,4,1,0,0.33485372981012046,True,False,False
-1.5471409559338818,0.48422460429935044,-0.35020386455104724,1.0508202865849028,2,0,1,-0.4373288460949081,False,False,True
0.3463189991777775,-1.1367864376227783,-1.0417596792253108,0.9314633619936777,1,1,1,-0.49323048409247083,False,False,True
-1.2677780117370796,-0.7553720748175714,0.3413519501232164,0.409185402285092,2,0,0,-0.34619970089236274,False,False,True
-1.5885280587778525,-1.4228472097266833,-0.695981771888179,-1.2258476714090278,2,1,0,-0.412123315592307,False,True,True
-1.8058103487086987,-0.4693113027136664,1.7244635794717436,-1.2258476714090278,2,1,0,-1.283817056739873,False,False,False
-1.0504957218062334,-1.3274936190253817,-0.004425957213915414,-1.2258476714090278,2,0,0,1.5783569986897874,False,False,False
-0.1606730106608635,-0.3739577120123647,0.6871298574603482,-1.2258476714090278,2,1,1,-0.5936359656444845,False,True,False
